բացակա	b ɑ t͡sʰ ɑ k ɑ
բացորեն	b ɑ t͡sʰ o ɾ e n
բոպիկը	b o p i k ə
բոպիկի	b o p i k i
բոցորեն	b o t͡sʰ o ɾ e n
բութերը	b u tʰ e ɾ ə
բութերի	b u tʰ e ɾ i
բութորեն	b u tʰ o ɾ e n
բուժելը	b u ʒ e l ə
բուժելու	b u ʒ e l u
բուժումդ	b u ʒ u m ə t
բուժումի	b u ʒ u m i
բունորեն	b u n o ɾ e n
գագաթը	ɡ ɑ ɡ ɑ tʰ ə
գագաթի	ɡ ɑ ɡ ɑ tʰ i
գիծերը	ɡ i t͡s e ɾ ə
գիծերի	ɡ i t͡s e ɾ i
գիշերը	ɡ i ʃ e ɾ ə
դատելը	d ɑ t e l ə
դատելու	d ɑ t e l u
դիտելը	d i t e l ə
դիտելու	d i t e l u
Եվրոպա	j e v ɾ o p ɑ
զատելը	z ɑ t e l ə
զատելու	z ɑ t e l u
զատիկդ	z ɑ t i k ə t
զատիկի	z ɑ t i k i
զատորեն	z ɑ t o ɾ e n
զուտորեն	z u t o ɾ e n
թաթիկը	tʰ ɑ tʰ i k ə
թաթիկի	tʰ ɑ tʰ i k i
թացորեն	tʰ ɑ t͡sʰ o ɾ e n
թափելը	tʰ ɑ pʰ e l ə
թափելու	tʰ ɑ pʰ e l u
թուրքերը	tʰ u ɾ kʰ e ɾ ə
թուրքերի	tʰ u ɾ kʰ e ɾ i
թուքերը	tʰ u kʰ e ɾ ə
թուքերի	tʰ u kʰ e ɾ i
թոքերի	tʰ o kʰ e ɾ i
իններորդ	i n n e ɾ o ɾ tʰ
խանութդ	χ ɑ n u tʰ ə t
խանութի	χ ɑ n u tʰ i
խանութս	χ ɑ n u tʰ ə s
խաչելու	χ ɑ t͡ʃʰ e l u
խիտորեն	χ i t o ɾ e n
կապելը	k ɑ p e l ə
կապելու	k ɑ p e l u
կապիկի	k ɑ p i k i
կապիկիս	k ɑ p i k i s
կապիկս	k ɑ p i k ə s
կատակի	k ɑ t ɑ k i
կատակս	k ɑ t ɑ k ə s
կարապի	k ɑ ɾ ɑ p i
կիսելը	k i s e l ə
կիսելու	k i s e l u
կոկիկը	k o k i k ə
կոկիկի	k o k i k i
կոշիկը	k o ʃ i k i
կոշիկս	k o ʃ i k ə s
կովիկի	k o v i k i
կուտերը	k u t e ɾ ə
կուտերի	k u t e ɾ i
կուտերու	k u t e ɾ u
հասակի	h ɑ s ɑ k i
հասակս	h ɑ s ɑ k ə s
հավատա	h ɑ v ɑ t ɑ
հավատաս	h ɑ v ɑ t ɑ s
հատակի	h ɑ t ɑ k i
հատակիդ	h ɑ t ɑ k i t
հատակին	h ɑ t ɑ k i n
հատիկդ	h ɑ t i k ə t
հատիկի	h ɑ t i k i
հատիկիդ	h ɑ t i k i t
հատուկը	h ɑ t u k ə
հատուկի	h ɑ t u k i
հիմնորեն	h i m n o ɾ e n
հինորեն	h i n o ɾ e n
Հիսուսը	h i s u s ə
Հիսուսի	h i s u s i
հոտոտա	h o t o t ɑ
ճակատայ	t͡ʃ ɑ k ɑ t ɑ j
ճակատդ	t͡ʃ ɑ k ɑ t ə t
ճակատը	t͡ʃ ɑ k ɑ t ə
ճակատի	t͡ʃ ɑ k ɑ t i
ճաշակդ	t͡ʃ ɑ ʃ ɑ k ə t
ճաշակի	t͡ʃ ɑ ʃ ɑ k i
ճաշակիդ	t͡ʃ ɑ ʃ ɑ k i t
մամուկի	m ɑ m u k i
մանուկդ	m ɑ n u k ə t
մանուկի	m ɑ n u k i
մատանի	m ɑ t ɑ n i
մատիտդ	m ɑ t i t ə t
մատիտի	m ɑ t i t i
մութորեն	m u tʰ o ɾ e n
նախորեն	n ɑ χ o ɾ e n
շաբաթը	ʃ ɑ pʰ ɑ tʰ ə
շաբաթի	ʃ ɑ pʰ ɑ tʰ i
շապիկը	ʃ ɑ p i k ə
շապիկի	ʃ ɑ p i k i
շապիկս	ʃ ɑ p i k ə s
շատորեն	ʃ ɑ t o ɾ e n
շիշերը	ʃ i ʃ e ɾ ə
շիշերի	ʃ i ʃ e ɾ i
շիտակը	ʃ i t ɑ k ə
շուտորեն	ʃ u t o ɾ e n
շուքերը	ʃ u kʰ e ɾ ə
շուքերի	ʃ u kʰ e ɾ i
ութերորդ	u tʰ e ɾ o ɾ tʰ
պաղորեն	p ɑ ʁ o ɾ e n
պապարի	p ɑ p ɑ ɾ i
պատիժի	p ɑ t i ʒ i
պատիժս	p ɑ t i ʒ ə s
պարագա	p ɑ ɾ ɑ ɡ ɑ
պարապի	p ɑ ɾ ɑ p i
ջութակի	d͡ʒ u tʰ ɑ k i
ջութակս	d͡ʒ u tʰ ɑ k ə s
ռոփերը	r o pʰ e ɾ ə
սուտերը	s u t e ɾ ə
սուտերի	s u t e ɾ i
սուտորեն	s u t o ɾ e n
տաբատդ	t ɑ b ɑ t ə t
տաբատը	t ɑ b ɑ t ə
տաբատի	t ɑ b ɑ t i
տակինը	t ɑ k i n ə
տակինի	t ɑ k i n i
տանիքի	t ɑ n i kʰ i
տանիքիդ	t ɑ n i kʰ i t
տասերորդ	t ɑ s e ɾ o ɾ tʰ
տասներորդ	t ɑ s n e ɾ o ɾ tʰ
տաքորեն	t ɑ kʰ o ɾ e n
տեսակը	t e s ɑ k ə
տեսակի	t e s ɑ k i
տիկինը	t i k i n ə
տիկինի	t i k i n i
տիկնիկը	t i k n i k ə
տիկնիկի	t i k n i k i
տուփերը	t u pʰ e ɾ ə
տուփերի	t u pʰ e ɾ i
փակուս	pʰ ɑ k u s
փափագդ	pʰ ɑ pʰ ɑ ɡ ə t
փափագի	pʰ ɑ pʰ ɑ ɡ i
փափուկը	pʰ ɑ pʰ u k ə
փափուկի	pʰ ɑ pʰ u k i
փափուկս	pʰ ɑ pʰ u k ə s
քակելը	kʰ ɑ k e l ə
քակելու	kʰ ɑ k e l u
քաշելը	kʰ ɑ ʃ e l ə
քաշելու	kʰ ɑ ʃ e l u
քաջորեն	kʰ ɑ d͡ʒ o ɾ e n
քիթերը	kʰ i tʰ e ɾ ə
քիթերի	kʰ i tʰ e ɾ i
քիչերը	kʰ i t͡ʃʰ e ɾ ə
քիչերի	kʰ i t͡ʃʰ e ɾ i
քիչերին	kʰ i t͡ʃʰ e ɾ i n
քիչորեն	kʰ i t͡ʃʰ o ɾ e n
Մարիամը	m ɑ ɾ j ɑ m ə
կարդա՞ց	k ɑ ɾ tʰ ɑ t͡sʰ
ասաց	ɑ s ɑ t͡sʰ
ի՞նչ	i n t͡ʃʰ
Ո՞վ	o v
ասաց։	ɑ s ɑ t͡sʰ
չկարդաց։	t͡ʃʰ ə k ɑ ɾ tʰ ɑ t͡sʰ
կարդա՞ց։	k ɑ ɾ tʰ ɑ t͡sʰ
ոչ	v o t͡ʃʰ